area,area_title,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
1,Alabama,21-1012,4080,28.64,17.22,21.89,32.01,36.31
1,Alabama,21-1013,330,19.06,16.97,18,24.07,28.16
1,Alabama,21-1015,600,22.99,13.29,17.92,29.2,32.21
1,Alabama,21-1018,3090,19.77,14.48,17.71,26.43,33.48
1,Alabama,21-1021,3630,19.86,14.14,17.46,25.77,30.66
1,Alabama,21-1022,2240,24.56,16.44,19.97,29.14,31.52
1,Alabama,21-1023,670,17.52,11.62,13.24,20.8,24.6
1,Alabama,21-1091,380,29.5,16.22,20.95,36.95,42.26
1,Alabama,21-1092,1010,23.44,17.46,20.24,27.81,32.21
1,Alabama,21-1093,3440,14.19,9.31,11.75,17.63,20.16
1,Alabama,21-1094,240,18.06,14.09,16.82,19.94,24.03
1,Alabama,21-1099,40,21.05,11.19,17,22.52,24.97
1,Alabama,21-2011,550,23.76,11.93,18.53,28.3,37.13
1,Alabama,21-2021,250,21.38,14.44,20.19,28.41,32.22
1,Alabama,23-0000,11360,36.23,17.56,23.44,63.39,95.02
1,Alabama,23-1011,6270,60.72,28.37,38.9,83.02,104.71
1,Alabama,23-1021,30,51.42,18.87,35.59,54.3,58.98
1,Alabama,23-1022,40,35.59,19.46,23.07,38.66,50.36
1,Alabama,23-1023,550,23,14.17,18.13,40.16,63.72
1,Alabama,23-2011,3770,23.38,15,17.59,29.97,35.89
1,Alabama,23-2093,440,22.92,18.93,21.53,29.52,35.9
1,Alabama,23-2099,240,24.79,18.04,22.06,28.58,32.72
1,Alabama,25-0000,100800,24.34,10.03,18.16,29.52,37.33
1,Alabama,25-1011,1270,*,*,*,*,*
1,Alabama,25-1021,540,*,*,*,*,*
1,Alabama,25-1022,900,*,*,*,*,*
1,Alabama,25-1031,90,*,*,*,*,*
1,Alabama,25-1032,690,*,*,*,*,*
1,Alabama,25-1041,220,*,*,*,*,*
1,Alabama,25-1042,1130,*,*,*,*,*
1,Alabama,25-1051,100,*,*,*,*,*
1,Alabama,25-1052,330,*,*,*,*,*
1,Alabama,25-1053,40,*,*,*,*,*
1,Alabama,25-1054,180,*,*,*,*,*
1,Alabama,25-1061,50,*,*,*,*,*
1,Alabama,25-1062,60,*,*,*,*,*
1,Alabama,25-1063,150,*,*,*,*,*
1,Alabama,25-1065,170,*,*,*,*,*
1,Alabama,25-1066,510,*,*,*,*,*
1,Alabama,25-1067,150,*,*,*,*,*
1,Alabama,25-1069,80,*,*,*,*,*
1,Alabama,25-1072,1220,*,*,*,*,*
1,Alabama,25-1081,840,*,*,*,*,*
1,Alabama,25-1082,160,*,*,*,*,*
1,Alabama,25-1111,160,*,*,*,*,*
1,Alabama,25-1112,200,*,*,*,*,*
1,Alabama,25-1113,230,*,*,*,*,*
1,Alabama,25-1121,910,*,*,*,*,*
1,Alabama,25-1122,270,*,*,*,*,*
1,Alabama,25-1123,1140,*,*,*,*,*
1,Alabama,25-1124,120,*,*,*,*,*
1,Alabama,25-1125,340,*,*,*,*,*
1,Alabama,25-1126,220,*,*,*,*,*
1,Alabama,25-1192,80,*,*,*,*,*
1,Alabama,25-1193,190,*,*,*,*,*
1,Alabama,25-1194,1930,28.59,18.76,23.01,30.93,37.76
1,Alabama,25-1199,230,*,*,*,*,*
