year,fips,population,w_population_ratio,b_population_ratio,na_population_ratio,a_population_ratio,nh_population_ratio,hi_population_ratio,male_population_ratio,female_population_ratio,age0_population_ratio,age1_population_ratio,age2_population_ratio,age3_population_ratio,age4_population_ratio,age5_population_ratio,age6_population_ratio,age7_population_ratio,age8_population_ratio,age9_population_ratio,age10_population_ratio,age11_population_ratio,age12_population_ratio,age13_population_ratio,age14_population_ratio,age15_population_ratio,age16_population_ratio,age17_population_ratio,age18_population_ratio
2019,48247,5161,0.97617,0.01027,0.00736,0.0062,0.07208,0.92792,0.50998,0.49002,0.00872,0.06084,0.08913,0.09184,0.07983,0.05832,0.04999,0.06607,0.05716,0.06026,0.04786,0.05173,0.05425,0.04883,0.04863,0.05077,0.03526,0.02616,0.01434
2019,48249,40573,0.96813,0.01348,0.01139,0.007,0.1987,0.8013,0.49592,0.50408,0.01287,0.0578,0.07798,0.08084,0.07207,0.06364,0.06672,0.06315,0.06586,0.05706,0.05624,0.05393,0.05708,0.05649,0.04843,0.04303,0.02738,0.02159,0.01784
2019,48251,175997,0.92503,0.04586,0.01165,0.01746,0.77378,0.22622,0.49974,0.50026,0.01191,0.05369,0.07154,0.07745,0.06929,0.06018,0.06428,0.06719,0.06832,0.0617,0.06438,0.06282,0.06514,0.05889,0.04713,0.03934,0.02639,0.01735,0.01303
2019,48253,19867,0.83908,0.13575,0.015,0.01017,0.72014,0.27986,0.62596,0.37404,0.0076,0.03584,0.05134,0.04963,0.0531,0.0753,0.08542,0.08376,0.08114,0.0676,0.07198,0.06091,0.06282,0.05683,0.04762,0.04002,0.03035,0.02003,0.01872
2019,48255,15356,0.89457,0.0883,0.01101,0.00612,0.43306,0.56694,0.57945,0.42055,0.00912,0.04949,0.05841,0.06219,0.0646,0.07775,0.09006,0.08661,0.07495,0.0648,0.05711,0.04806,0.0549,0.0549,0.04513,0.03556,0.02383,0.02208,0.02045
2019,48257,136459,0.82544,0.14471,0.01173,0.01812,0.7669,0.2331,0.49254,0.50746,0.01359,0.05895,0.07788,0.08243,0.07234,0.05622,0.06441,0.07355,0.07566,0.068,0.06485,0.06009,0.05998,0.05335,0.04223,0.03183,0.02089,0.01263,0.01113
2019,48259,47418,0.9577,0.01731,0.0086,0.01639,0.75492,0.24508,0.49011,0.50989,0.00871,0.03885,0.06392,0.07278,0.07147,0.05203,0.04578,0.05023,0.06285,0.0651,0.06869,0.06373,0.07324,0.0694,0.06027,0.05186,0.03513,0.02301,0.02294
2019,48261,385,0.90909,0.05195,0.01818,0.02078,0.29091,0.70909,0.52468,0.47532,0.00779,0.03117,0.05714,0.06234,0.05714,0.07792,0.05974,0.06753,0.06753,0.04156,0.07013,0.05455,0.06753,0.06753,0.03896,0.08571,0.03896,0.01818,0.02857
2019,48263,758,0.96306,0.01715,0.01583,0.00396,0.80343,0.19657,0.51319,0.48681,0.00528,0.04354,0.07388,0.06332,0.06069,0.04222,0.03562,0.04485,0.06992,0.0343,0.05673,0.06069,0.06992,0.08179,0.05277,0.06332,0.04617,0.05013,0.04485
2019,48265,52422,0.94939,0.02278,0.01332,0.01452,0.72409,0.27591,0.4823,0.5177,0.00944,0.04181,0.05158,0.05378,0.05902,0.05515,0.05368,0.05112,0.05032,0.04456,0.04935,0.05578,0.06953,0.07596,0.07607,0.07283,0.05536,0.03863,0.03602
2019,48267,4362,0.96653,0.01032,0.01376,0.0094,0.75264,0.24736,0.4906,0.5094,0.01238,0.03645,0.04516,0.05433,0.05135,0.047,0.047,0.04677,0.04723,0.05158,0.05319,0.05021,0.07221,0.08459,0.08666,0.08689,0.05892,0.03851,0.02957
2019,48269,267,0.97004,0.01498,0.01124,0.00375,0.82772,0.17228,0.50936,0.49064,0.01124,0.03371,0.07116,0.09363,0.05243,0.03371,0.05993,0.05243,0.07491,0.03371,0.07116,0.07116,0.06742,0.08989,0.04494,0.03745,0.04494,0.02996,0.02622
