year,fips,population,w_population_ratio,b_population_ratio,na_population_ratio,a_population_ratio,nh_population_ratio,hi_population_ratio,male_population_ratio,female_population_ratio,age0_population_ratio,age1_population_ratio,age2_population_ratio,age3_population_ratio,age4_population_ratio,age5_population_ratio,age6_population_ratio,age7_population_ratio,age8_population_ratio,age9_population_ratio,age10_population_ratio,age11_population_ratio,age12_population_ratio,age13_population_ratio,age14_population_ratio,age15_population_ratio,age16_population_ratio,age17_population_ratio,age18_population_ratio
2018,18107,38251,0.97041,0.016,0.00434,0.00925,0.9514,0.0486,0.50673,0.49327,0.01137,0.04716,0.06572,0.06525,0.06763,0.06374,0.06222,0.05608,0.05605,0.05519,0.06183,0.06646,0.07422,0.06779,0.05391,0.04321,0.03548,0.02389,0.0228
2018,18109,70108,0.98013,0.00823,0.00364,0.008,0.98347,0.01653,0.49648,0.50352,0.01105,0.04599,0.05768,0.06818,0.06621,0.05519,0.05918,0.0547,0.05882,0.05855,0.07059,0.07431,0.08019,0.07138,0.05798,0.04486,0.03067,0.01856,0.0159
2018,18111,13979,0.97568,0.01259,0.00587,0.00587,0.93254,0.06746,0.50848,0.49152,0.01044,0.04342,0.05723,0.06267,0.05966,0.04965,0.06152,0.05551,0.05916,0.05945,0.06202,0.06703,0.08205,0.07712,0.06302,0.04464,0.03985,0.02253,0.02303
2018,18113,47649,0.97576,0.01377,0.00437,0.00611,0.89456,0.10544,0.50221,0.49779,0.01358,0.05251,0.06563,0.07068,0.06726,0.06149,0.06288,0.05874,0.05874,0.0613,0.0629,0.06569,0.07081,0.06697,0.05761,0.04191,0.02542,0.01643,0.01945
2018,18115,5880,0.98418,0.00952,0.00272,0.00357,0.98214,0.01786,0.49541,0.50459,0.01037,0.0381,0.05136,0.05799,0.05459,0.04388,0.05323,0.05612,0.05374,0.0534,0.06395,0.07007,0.09575,0.07823,0.06973,0.05714,0.0449,0.02653,0.02092
2018,18117,19567,0.97169,0.01886,0.0048,0.00465,0.98257,0.01743,0.50141,0.49859,0.01267,0.04881,0.06015,0.06465,0.06511,0.05494,0.05576,0.0531,0.05657,0.05622,0.05979,0.06695,0.07625,0.07344,0.06199,0.0532,0.03618,0.02264,0.02157
2018,18119,20879,0.98065,0.00838,0.00489,0.00608,0.98611,0.01389,0.50261,0.49739,0.0113,0.04258,0.05522,0.06212,0.06207,0.05283,0.05307,0.05508,0.05307,0.05647,0.06471,0.07476,0.08511,0.0786,0.06729,0.05187,0.0352,0.02122,0.01743
2018,18121,16955,0.96461,0.02819,0.00478,0.00242,0.98402,0.01598,0.47272,0.52728,0.01144,0.04889,0.05733,0.06211,0.05397,0.05756,0.0673,0.06211,0.05727,0.05585,0.06146,0.06517,0.07579,0.06883,0.06441,0.05137,0.03592,0.02247,0.02076
2018,18123,19100,0.95738,0.03178,0.00377,0.00707,0.98497,0.01503,0.53555,0.46445,0.01052,0.04581,0.05712,0.06372,0.05503,0.05848,0.0689,0.06209,0.06534,0.05906,0.06131,0.06319,0.07387,0.07021,0.0633,0.0456,0.03037,0.02152,0.02455
2018,18125,12384,0.97989,0.00929,0.00468,0.00614,0.98579,0.01421,0.49814,0.50186,0.01203,0.0457,0.05862,0.06379,0.05903,0.04748,0.05782,0.052,0.05741,0.05733,0.06549,0.06654,0.07728,0.07679,0.06387,0.05095,0.0386,0.02592,0.02334
2018,18127,169647,0.93189,0.0461,0.00463,0.01738,0.89766,0.10234,0.4944,0.5056,0.00987,0.04428,0.05906,0.06505,0.06917,0.06257,0.06057,0.06196,0.06784,0.06363,0.06549,0.06443,0.07157,0.07039,0.05768,0.04228,0.02788,0.01797,0.01831
2018,18129,25529,0.97587,0.01555,0.00266,0.00591,0.98696,0.01304,0.49931,0.50069,0.01077,0.0443,0.06389,0.06389,0.05844,0.05429,0.05488,0.05652,0.06064,0.05668,0.06154,0.06808,0.07952,0.07901,0.06471,0.0461,0.03228,0.02143,0.02303
2018,18131,12502,0.97536,0.012,0.00576,0.00688,0.96793,0.03207,0.51064,0.48936,0.01,0.04207,0.06015,0.07039,0.06375,0.05335,0.05671,0.05415,0.05847,0.05823,0.05999,0.07023,0.07119,0.07439,0.06375,0.04751,0.03927,0.0228,0.0236
2018,18133,37494,0.93943,0.04291,0.00416,0.0135,0.97898,0.02102,0.52584,0.47416,0.00971,0.04129,0.05356,0.05716,0.07705,0.09361,0.0679,0.05972,0.05753,0.05612,0.06236,0.06601,0.06974,0.06294,0.05177,0.04046,0.03032,0.02102,0.02174
2018,18135,24736,0.97752,0.01282,0.00477,0.00489,0.96366,0.03634,0.492,0.508,0.01059,0.04803,0.0606,0.06654,0.06703,0.05514,0.05595,0.05009,0.0545,0.05777,0.06537,0.06476,0.07236,0.07006,0.05931,0.04944,0.03804,0.02608,0.02834
2018,18137,28526,0.97914,0.00792,0.00396,0.00897,0.98093,0.01907,0.4952,0.5048,0.01336,0.04761,0.06303,0.06927,0.06885,0.06093,0.05784,0.05202,0.05921,0.05777,0.06562,0.06804,0.07134,0.0664,0.05584,0.04669,0.03194,0.02124,0.023
2018,18139,16635,0.9768,0.01479,0.00397,0.00445,0.98257,0.01743,0.49209,0.50791,0.01064,0.04623,0.05825,0.06895,0.06504,0.05879,0.05807,0.05296,0.05537,0.05657,0.06649,0.07112,0.07544,0.07286,0.05537,0.04635,0.0339,0.02362,0.02399
2018,18141,270961,0.81167,0.15232,0.00683,0.02918,0.91088,0.08912,0.4869,0.5131,0.01264,0.05124,0.06543,0.06616,0.07495,0.07591,0.07052,0.06355,0.06173,0.05599,0.05909,0.05876,0.06365,0.06301,0.05349,0.03715,0.02603,0.01759,0.02311
2018,18143,23773,0.97741,0.00829,0.00328,0.01102,0.97581,0.02419,0.4906,0.5094,0.01132,0.04728,0.06226,0.06575,0.0615,0.05721,0.06592,0.05742,0.05889,0.06381,0.07227,0.06865,0.07601,0.0665,0.05489,0.04556,0.03134,0.01901,0.01443
2018,18145,44535,0.96794,0.01695,0.00362,0.0115,0.95612,0.04388,0.49705,0.50295,0.01026,0.04742,0.06166,0.06707,0.06267,0.05589,0.06218,0.05804,0.05879,0.06114,0.06456,0.07089,0.07666,0.07208,0.05634,0.04262,0.03083,0.0192,0.02171
2018,18147,20385,0.97945,0.01344,0.00304,0.00407,0.97091,0.02909,0.5038,0.4962,0.00986,0.04278,0.05774,0.06691,0.06279,0.05372,0.05229,0.05357,0.05681,0.05681,0.06318,0.07143,0.08133,0.07476,0.06196,0.05077,0.0363,0.02247,0.02453
2018,18149,22953,0.98427,0.00762,0.00501,0.00309,0.96009,0.03991,0.49924,0.50076,0.01194,0.0471,0.06126,0.06775,0.06256,0.05315,0.06091,0.05424,0.05834,0.05668,0.06592,0.06348,0.07524,0.07555,0.06452,0.04627,0.0352,0.02405,0.01586
2018,18151,34570,0.97674,0.01172,0.00399,0.00755,0.9626,0.0374,0.50741,0.49259,0.01041,0.04533,0.05325,0.05835,0.06925,0.06971,0.0558,0.05077,0.0501,0.05108,0.06286,0.06974,0.07457,0.07654,0.06945,0.05265,0.03445,0.0232,0.02248
2018,18153,20673,0.94031,0.05263,0.00392,0.00314,0.98201,0.01799,0.54419,0.45581,0.0105,0.04199,0.05186,0.05389,0.05824,0.06022,0.07377,0.06845,0.06554,0.06719,0.06893,0.0684,0.06777,0.06463,0.05795,0.04692,0.03052,0.01978,0.02346
2018,18155,10757,0.97518,0.01692,0.00316,0.00474,0.98104,0.01896,0.5138,0.4862,0.01097,0.0515,0.0713,0.07242,0.06284,0.05113,0.05503,0.05373,0.06191,0.05829,0.06433,0.07093,0.07335,0.06638,0.05708,0.0462,0.03272,0.02296,0.01692
2018,18157,193705,0.84262,0.06364,0.00457,0.08918,0.91581,0.08419,0.51166,0.48834,0.01169,0.04659,0.05767,0.05604,0.0973,0.17644,0.08146,0.06186,0.05509,0.04938,0.04968,0.04717,0.0489,0.04593,0.03883,0.02814,0.01939,0.01335,0.01508
2018,18159,15100,0.97689,0.01159,0.00358,0.00795,0.96874,0.03126,0.49821,0.50179,0.00974,0.04384,0.05132,0.06086,0.06371,0.05424,0.05815,0.05152,0.05185,0.05344,0.07126,0.06828,0.07854,0.07477,0.06152,0.05556,0.04013,0.02437,0.02689
2018,18161,7086,0.97714,0.01397,0.00339,0.0055,0.97784,0.02216,0.49661,0.50339,0.00903,0.04445,0.05151,0.06111,0.05998,0.0573,0.06379,0.04925,0.05828,0.05857,0.06689,0.07465,0.08199,0.06802,0.06449,0.05109,0.03726,0.02145,0.02089
2018,18163,181165,0.86781,0.11082,0.00366,0.01771,0.97237,0.02763,0.48459,0.51541,0.01182,0.04822,0.06024,0.06027,0.06365,0.06898,0.07504,0.06787,0.0635,0.05464,0.05743,0.05973,0.07034,0.06983,0.05601,0.03976,0.02828,0.02086,0.02351
2018,18165,15508,0.98253,0.00967,0.004,0.0038,0.98659,0.01341,0.49665,0.50335,0.01038,0.04552,0.05952,0.063,0.06597,0.05339,0.06023,0.05126,0.05681,0.05829,0.06855,0.06384,0.07145,0.07061,0.06609,0.05191,0.03617,0.02276,0.02425
2018,18167,107438,0.88951,0.08326,0.00437,0.02287,0.97244,0.02756,0.50578,0.49422,0.01117,0.0458,0.05628,0.0568,0.07326,0.10904,0.07137,0.0604,0.06048,0.05397,0.05811,0.05889,0.06056,0.06096,0.05196,0.04038,0.02892,0.01943,0.02223
2018,18169,31210,0.9735,0.01205,0.00801,0.00644,0.97376,0.02624,0.48408,0.51592,0.01006,0.04217,0.05501,0.06046,0.07411,0.06735,0.05601,0.05008,0.05537,0.05434,0.06017,0.06251,0.07353,0.07116,0.06008,0.04989,0.03547,0.02877,0.03345
2018,18171,8268,0.98319,0.00701,0.0029,0.00689,0.98016,0.01984,0.49504,0.50496,0.00931,0.04451,0.06459,0.06592,0.06108,0.0456,0.05564,0.05358,0.056,0.05503,0.06725,0.07015,0.07801,0.07293,0.06265,0.04838,0.03931,0.02709,0.02298
2018,18173,62443,0.94787,0.02172,0.00314,0.02727,0.98049,0.01951,0.4919,0.5081,0.01015,0.04486,0.06606,0.07333,0.06675,0.05198,0.05459,0.05458,0.06688,0.06299,0.06904,0.0655,0.07207,0.06636,0.05833,0.04519,0.03094,0.01891,0.02149
