year,state_fip,population,w_population_ratio,b_population_ratio,na_population_ratio,a_population_ratio,nh_population_ratio,hi_population_ratio,male_population_ratio,female_population_ratio,age0_population_ratio,age1_population_ratio,age2_population_ratio,age3_population_ratio,age4_population_ratio,age5_population_ratio,age6_population_ratio,age7_population_ratio,age8_population_ratio,age9_population_ratio,age10_population_ratio,age11_population_ratio,age12_population_ratio,age13_population_ratio,age14_population_ratio,age15_population_ratio,age16_population_ratio,age17_population_ratio,age18_population_ratio
2008,13,9504843,0.64871,0.3117,0.00511,0.03448,0.91636,0.08364,0.489,0.511,0.01501,0.05867,0.07128,0.07138,0.07444,0.06988,0.07168,0.06831,0.07567,0.07457,0.07439,0.0675,0.05786,0.04706,0.03435,0.02475,0.0186,0.01323,0.01137
2008,15,1332213,0.24657,0.02482,0.00439,0.72422,0.91643,0.08357,0.5006,0.4994,0.01391,0.05203,0.0583,0.06218,0.06516,0.07091,0.07271,0.0626,0.06613,0.06788,0.07238,0.07311,0.06786,0.05638,0.03944,0.0299,0.02666,0.02228,0.02019
2008,16,1534320,0.95661,0.00928,0.01825,0.01586,0.89321,0.10679,0.50154,0.49846,0.01612,0.06311,0.07626,0.07415,0.07591,0.07094,0.0698,0.06316,0.06356,0.06207,0.06851,0.06735,0.06014,0.04952,0.03797,0.02799,0.02149,0.0165,0.01544
2008,17,12747038,0.79255,0.15339,0.00603,0.04804,0.8477,0.1523,0.49058,0.50942,0.01318,0.05332,0.0668,0.07,0.07304,0.06876,0.07141,0.06646,0.06956,0.07008,0.07505,0.07091,0.06065,0.04764,0.03607,0.02763,0.02315,0.01862,0.01766
2008,18,6424806,0.88171,0.09715,0.0042,0.01694,0.9437,0.0563,0.49197,0.50803,0.01362,0.05426,0.06895,0.07017,0.07454,0.06945,0.06589,0.06191,0.06686,0.06847,0.0746,0.07198,0.06233,0.04971,0.03815,0.02887,0.02406,0.01908,0.01711
2008,19,3016734,0.94404,0.03302,0.00479,0.01815,0.95432,0.04568,0.49431,0.50569,0.01355,0.0525,0.06556,0.06652,0.07325,0.07103,0.06358,0.05862,0.06072,0.06447,0.07382,0.07289,0.06459,0.05081,0.03957,0.03246,0.02818,0.02374,0.02414
2008,20,2808076,0.89327,0.06712,0.01355,0.02606,0.90145,0.09855,0.4959,0.5041,0.01469,0.05635,0.07062,0.06964,0.07348,0.07382,0.06721,0.06131,0.06289,0.064,0.07358,0.07186,0.06154,0.04819,0.03596,0.02869,0.02512,0.02047,0.02057
2008,21,4289878,0.90266,0.08206,0.00281,0.01246,0.97241,0.02759,0.491,0.509,0.01354,0.05207,0.06528,0.06598,0.06957,0.0668,0.06713,0.06316,0.06833,0.07014,0.0757,0.07305,0.06504,0.05353,0.04125,0.03129,0.02448,0.01816,0.01552
2008,22,4435586,0.65012,0.32566,0.00768,0.01654,0.96148,0.03852,0.48831,0.51169,0.01509,0.05475,0.06739,0.06878,0.07476,0.07497,0.07283,0.06081,0.06333,0.06675,0.07421,0.07243,0.06255,0.0501,0.03782,0.02887,0.02327,0.01717,0.01413
2008,23,1330509,0.96754,0.01391,0.00762,0.01093,0.9876,0.0124,0.48936,0.51064,0.0105,0.04302,0.05634,0.06085,0.06939,0.06013,0.05468,0.0535,0.06441,0.07314,0.08306,0.08237,0.07438,0.0614,0.04464,0.03501,0.0294,0.02279,0.02098
2008,24,5684965,0.62967,0.30638,0.00577,0.05818,0.9243,0.0757,0.48359,0.51641,0.0132,0.0512,0.06334,0.06731,0.07274,0.06693,0.06763,0.06177,0.06993,0.0767,0.08087,0.07438,0.06361,0.05109,0.03707,0.02682,0.02205,0.0173,0.01607
